Chromosome/scaffold name	Transcript end (bp)	Strand
2	8969519	1
2	8981730	-1
2	9036925	-1
2	9042864	-1
2	9044677	-1
2	9054346	1
2	9062284	1
2	9063395	-1
2	9067779	1
2	9073380	1
2	9081574	1
2	9096342	-1
2	9108567	1
2	9111804	1
2	9119007	1
2	9121873	-1
2	9130737	-1
2	9137354	-1
2	9153702	-1
2	9157052	-1
2	9163808	1
2	9171950	-1
2	9181633	-1
2	9184758	-1
2	9201599	-1
2	9203383	-1
2	9209105	-1
2	9223584	-1
2	9236521	1
2	9243387	-1
2	9248333	-1
2	9255828	-1
2	9273757	1
2	9280771	1
2	9283781	1
2	9289510	1
2	9297289	-1
2	9304570	1
2	9304570	1
2	9308124	-1
2	9312067	-1
2	9314264	1
2	9316451	-1
2	9317720	-1
2	9327328	-1
2	9333766	1
2	9334945	-1
2	9336159	-1
2	9366545	1
2	9372927	-1
2	9374118	-1
2	9382320	1
2	9384285	-1
2	9387134	1
2	9395930	1
2	9399376	1
2	9400552	-1
2	9404448	1
2	9407408	1
2	9413042	-1
2	9413710	1
2	9420737	-1
2	9423880	1
2	9434610	1
2	9446539	-1
2	9453875	1
2	9463283	1
2	9469731	1
2	9474487	-1
2	9474208	-1
2	9478592	1
2	9482918	1
2	9492718	-1
2	9498940	-1
2	9499525	-1
2	9501882	1
2	9505648	-1
2	9514443	-1
2	9526247	-1
2	9533984	-1
2	9535417	-1
2	9541862	1
2	9550345	1
2	9555144	1
2	9559105	-1
2	9560848	1
2	9571056	1
2	9575826	1
2	9598748	1
2	9609070	-1
2	9613501	-1
2	9621750	1
2	9626519	-1
2	9631797	1
2	9642070	1
2	9647661	-1
2	9650854	1
2	9652398	-1
2	9655085	1
2	9668422	-1
2	9671124	1
2	9675887	1
2	9683185	1
2	9687449	1
2	9694084	1
2	9701462	-1
2	9703642	-1
2	9713581	-1
2	9754567	-1
2	9760398	-1
2	9787558	1
2	9789470	1
2	9807994	1
2	9820176	1
2	9842410	1
2	9855416	1
2	9862190	-1
2	9867660	1
2	9870986	-1
2	9878851	1
2	9891938	-1
2	9900911	1
2	9908256	1
2	9921556	1
2	9929715	-1
2	9956727	1
2	9969547	-1
2	10007010	-1
2	10020007	-1
2	10025709	1
2	10059173	1
2	10118539	-1
2	10154328	-1
2	10169292	-1
2	10197095	-1
2	10208983	-1
2	10250690	1
2	10271081	-1
2	10275165	1
2	10285020	-1
2	10290218	1
2	10295743	1
2	10313876	1
2	10318796	-1
2	10331651	1
2	10341392	1
2	10349315	-1
2	10357047	1
2	10360634	1
2	10374805	1
2	10375771	1
2	10382393	-1
2	10414752	-1
2	10428395	-1
2	10440088	1
2	10451088	-1
2	10499736	1
2	10522511	-1
2	10528374	1
2	10528644	1
2	10541814	1
2	10546263	-1
2	10551112	1
2	10554109	1
2	10563166	-1
2	10577762	-1
2	10587480	1
2	10591352	1
2	10626725	1
2	10645773	-1
2	10650257	1
2	10653787	-1
2	10749099	1
2	10801330	1
2	10809410	1
2	10820631	1
2	10978599	-1
2	10981874	-1
2	11018985	-1
2	11037731	-1
2	11042386	-1
2	11053282	-1
2	11083166	-1
2	11094055	-1
2	11108059	1
2	11119313	-1
2	11131045	1
2	11143047	1
2	11147795	-1
2	11157477	1
2	11157601	1
2	11161757	1
2	11180498	-1
2	11187647	1
2	11200952	-1
2	11204426	-1
2	11218718	-1
2	11225059	-1
2	11228690	-1
2	11371800	-1
2	11451140	-1
2	11484546	1
2	11509092	1
2	11513262	1
2	11523363	1
2	11583794	1
2	11599537	1
2	11766239	-1
2	11790085	1
2	11817635	1
2	11834805	1
2	11835426	1
2	11864126	-1
2	11968338	-1
2	11980285	-1
2	11999300	1
2	12003197	-1
2	12008891	-1
2	12017840	-1
2	12021319	1
2	12051813	-1
2	12094963	1
2	12176381	-1
2	12217925	-1
2	12223263	-1
2	12235970	-1
2	12301588	-1
2	12327712	-1
2	12339251	1
2	12340305	-1
2	12383633	-1
2	12395716	1
2	12408031	-1
2	12415461	1
2	12426345	1
2	12431805	1
2	12439076	-1
2	12468174	-1
2	12471173	1
2	12485980	1
2	12491864	-1
2	12512826	-1
2	12528557	1
2	12542366	-1
2	12552217	-1
2	12556835	1
2	12566863	-1
2	12632737	-1
2	12642630	-1
2	12647392	-1
2	12651869	1
2	12659714	1
2	12704735	1
2	12711614	1
2	12725318	1
2	12734386	1
2	12742350	1
2	12752538	-1
2	12791762	-1
2	12801833	-1
2	12810432	1
2	12816166	-1
2	12862220	1
2	12857177	1
2	12964113	1
2	12989205	1
2	13005473	1
2	13049084	1
2	13069625	1
2	13074027	-1
2	13094299	-1
2	13124453	1
2	13134864	-1
2	13159238	1
2	13167533	1
2	13173680	-1
2	13182781	-1
2	13224411	1
2	13226728	-1
2	13227606	-1
2	13235091	1
2	13237883	1
2	13241108	-1
2	13244699	-1
2	13280042	1
2	13315710	1
2	13321404	1
2	13343827	1
2	13352128	1
2	13358422	1
2	13366218	1
2	13387570	1
2	13412907	1
2	13414187	-1
2	13417944	-1
2	13421784	-1
2	13427748	-1
2	13447552	1
2	13449586	-1
2	13451394	-1
2	13496092	-1
2	13506995	1
2	13516742	1
2	13518080	-1
2	13521524	1
2	13530435	1
2	13560547	1
2	13567891	1
2	13585656	-1
2	13590202	-1
2	13597653	-1
2	13602959	1
2	13605704	-1
2	13618577	1
2	13623449	1
2	13623449	1
2	13628675	-1
2	13663010	1
2	13664431	1
2	13669987	-1
2	13684329	1
2	13720873	1
2	13737914	1
2	13741480	-1
2	13760856	-1
2	13760856	-1
2	13767949	1
2	13786894	-1
2	13802012	-1
2	13806659	1
2	13809396	-1
2	13829637	-1
2	13839240	-1
2	13859876	-1
2	13860854	1
2	13876428	-1
2	13881408	-1
2	13891359	1
2	13895911	-1
2	13919836	1
2	13927888	-1
2	13935640	-1
2	13935645	-1
2	13987891	1
2	14008255	-1
2	14001418	1
2	14015514	-1
2	14023647	1
2	14039652	-1
2	14041954	1
2	14060499	1
2	14076032	-1
2	14090726	-1
2	14091203	-1
2	14093570	-1
2	14122582	1
2	14144404	-1
2	14174602	1
2	14188777	1
2	14195866	1
2	14215397	1
2	14287626	1
2	14295347	-1
2	14315304	-1
2	14325690	-1
2	14399244	-1
2	14418193	-1
2	14431359	1
2	14432895	1
2	14444230	1
2	14456045	-1
2	14477974	-1
2	14496956	1
2	14506729	1
2	14509850	-1
2	14512543	-1
2	14526259	-1
2	14533800	1
2	14536889	1
2	14540859	1
2	14545312	1
2	14552490	-1
2	14570104	-1
2	14597301	-1
2	14686855	1
2	14755318	1
2	14755621	1
2	14798899	1
2	14806042	1
2	14832848	1
2	14834995	1
2	14839864	-1
2	14848401	-1
2	14848667	-1
2	14848240	-1
2	14864164	1
2	14881063	-1
2	14892669	1
2	14898589	1
2	14940579	-1
2	14949173	-1
2	15027164	-1
2	15035090	1
2	15097356	1
2	15133659	1
2	15162852	-1
2	15185034	-1
2	15196733	1
2	15198159	1
2	15223592	1
2	15249728	-1
2	15250388	-1
2	15476003	-1
2	15527133	1
2	15576771	-1
2	15762745	1
2	15765100	-1
2	15767984	1
2	15956293	1
2	15967517	1
2	16023263	1
2	16054003	-1
2	16056479	1
2	16100737	1
2	16100998	1
2	16122169	1
2	16154122	-1
2	16173884	-1
2	16194187	-1
2	16281362	-1
2	16321268	1
2	16329553	1
2	16334367	1
2	16340758	-1
2	16349554	-1
2	16396738	-1
2	16417798	-1
2	16449998	-1
2	16464919	-1
2	16471372	-1
2	16481393	-1
2	16482833	1
2	16508360	1
2	16536242	-1
2	16541172	1
2	16558224	1
2	16557388	1
2	16608259	-1
2	16653566	1
2	16656953	-1
2	16670475	-1
2	16700012	-1
2	16706443	-1
2	16729439	-1
2	16884526	1
2	16887916	1
2	16895792	1
2	16904960	-1
2	16937089	1
2	16941473	-1
2	16955852	-1
2	16964967	-1
2	16988880	-1
2	17017070	-1
2	17038686	-1
2	17054944	-1
2	17056258	1
2	17096963	-1
2	17107654	1
2	17111678	1
2	17112561	1
2	17120534	1
2	17264186	-1
2	17326727	1
2	17352528	-1
2	17365349	-1
2	17389176	-1
2	17393620	-1
2	17410021	-1
2	17413999	-1
2	17487502	1
2	17547377	-1
2	17553916	-1
2	17561071	1
2	17640655	1
2	17673469	1
2	17692096	1
2	17698524	-1
2	17743296	-1
2	17764671	1
2	17764339	1
2	17777093	1
2	17783147	-1
2	17810769	1
2	17814992	-1
2	17817786	1
2	17958506	1
2	17975595	1
2	18004205	-1
2	18007583	-1
2	18031016	-1
2	18040120	1
2	18051570	1
2	18052651	1
2	18068051	-1
2	18071808	1
2	18156906	1
2	18202361	1
2	18201996	1
2	18231921	1
2	18268966	1
2	18271924	-1
2	18277345	-1
2	18336709	-1
2	18342815	-1
2	18373314	-1
2	18548968	-1
2	18587787	-1
2	18596461	-1
2	18627946	1
2	18633017	1
2	18746910	1
2	18755601	-1
2	18814657	1
2	18819996	-1
2	18823849	1
2	18825805	-1
2	18831456	-1
2	18835811	-1
2	18840473	-1
2	18846101	-1
2	18846186	-1
2	18849565	-1
2	18854679	-1
2	18857268	-1
2	18859432	-1
2	18866391	-1
2	18866391	-1
2	18873614	1
2	18901154	1
2	18901154	1
2	18911930	-1
2	18915843	-1
2	18970192	-1
2	18993055	-1
2	18995728	-1
2	18995971	-1
2	19036979	1
2	19042687	-1
2	19042978	-1
2	19100601	1
2	19112902	1
2	19116198	1
2	19202255	1
2	19216747	-1
2	19236257	-1
2	19461122	-1
2	19544179	-1
2	19575795	-1
2	19759771	-1
2	19815868	1
2	19816229	1
2	19819528	1
2	19826582	1
2	19856438	1
2	19865703	1
2	19867985	1
2	19868264	1
2	19869154	1
2	19877714	-1
2	19887308	-1
2	20017760	-1
2	20041023	1
2	20049740	1
2	20088565	-1
2	20098519	-1
2	20106804	-1
2	20110614	-1
2	20131447	1
2	20137167	1
2	20144807	1
2	20148061	-1
2	20156906	1
2	20190159	1
2	20199826	1
2	20211443	1
2	20254320	-1
2	20257655	-1
2	20280946	1
2	20289705	1
2	20425425	1
2	20519165	1
2	20576930	1
2	20576930	1
2	20592033	1
2	20596512	-1
2	20599406	-1
2	20608527	-1
2	20613870	1
2	20642919	-1
2	20708960	-1
2	20717185	1
2	20718836	-1
2	20719775	-1
2	20731202	1
2	20876286	1
2	20882533	1
2	20920665	1
2	20920137	1
2	20928597	1
2	20960164	-1
2	20985015	-1
2	20988680	-1
2	21061738	1
2	21081156	-1
2	21110481	-1
2	21174537	1
2	21231659	1
2	21232892	1
2	21234738	-1
2	21237065	-1
2	21249962	1
2	21259380	-1
2	21259156	-1
2	21420297	1
2	21425211	1
2	21427691	1
2	21442189	1
2	21445958	-1
2	21532887	1
2	21534195	-1
2	21624073	-1
2	21632515	1
2	21703787	-1
2	21731311	-1
2	21738155	-1
2	21741257	1
2	21867415	1
2	21932137	1
2	21936001	-1
2	21938009	-1
2	22132779	1
2	22138112	1
2	22138832	-1
2	22139224	-1
2	22140490	-1
2	22148471	-1
2	22304247	1
2	22350349	1
2	22405778	-1
2	22408845	-1
2	22460075	1
2	22464637	-1
2	22464588	-1
2	22469766	1
2	22471892	1
2	22480461	1
2	22491779	1
2	22492614	1
2	22498045	-1
2	22512559	1
2	22636143	1
2	22663848	-1
2	22708712	-1
2	22763142	1
2	22794567	1
2	22813803	1
2	22955344	-1
2	22970363	-1
2	22978080	1
2	23057538	-1
2	23063038	-1
2	23164902	1
2	23194060	1
2	23198252	1
2	23199343	1
2	23215261	-1
2	23223432	-1
2	23290311	-1
2	23323789	-1
2	23355521	-1
2	23368981	-1
2	23370123	-1
2	23450119	1
2	23476719	-1
2	23549229	-1
2	23600896	-1
2	23622226	1
2	23753528	1
2	23778716	-1
2	23949841	1
2	24005352	1
2	24064254	-1
2	24653020	1
2	24661762	1
2	25004115	-1
2	25005176	-1
2	25357373	1
2	25497352	1
2	25581007	1
2	25616119	1
2	25770315	-1
2	25872642	-1
2	26178812	-1
2	26193573	-1
2	26310297	1
2	26324828	-1
2	26326235	1
2	26329468	-1
2	26939181	-1
2	26990821	-1
2	27035552	-1
2	27064564	1
2	27163840	1
2	27202299	1
2	27590534	-1
2	27615348	1
2	27639769	1
2	27814370	1
2	27846664	-1
2	28222781	-1
2	28691538	-1
2	28691491	-1
2	29011544	1
2	29014848	1
2	29018532	1
2	29052028	-1
2	29159700	1
2	29518807	-1
2	29518212	-1
2	29771371	1
2	29776016	-1
2	29787691	-1
2	29922054	-1
2	31094488	-1
2	31149288	1
2	31167263	1
2	31168436	1
2	31902828	1
2	31904924	1
2	31905742	-1
2	31906303	-1
2	31910369	-1
2	32042458	-1
2	32092730	-1
2	32153907	1
2	33059324	1
2	33063025	1
2	36028131	-1
2	36034480	-1
2	36686320	-1
2	36710207	-1
2	36799344	-1
2	37093690	1
2	37094254	1
2	37104771	1
2	37120815	-1
2	37381468	1
2	37454070	-1
2	37844247	1
2	38304280	-1
2	38850106	1
2	38857024	-1
2	38879291	1
2	38882032	1
2	38882593	1
2	39404501	1
2	39958558	-1
2	40024813	1
2	40186210	-1
2	40188716	-1
2	40217202	-1
2	40229451	-1
2	40367650	1
2	40405071	1
2	40409058	1
2	40417158	-1
2	40522794	-1
2	40530029	1
2	40531940	-1
2	41372129	-1
2	41376289	1
2	41384604	1
2	41742693	1
2	41766571	-1
2	41767807	-1
2	41900653	-1
2	41901215	1
2	41908363	-1
2	41911633	-1
2	41928325	-1
2	41928875	-1
2	42287335	-1
2	42588843	-1
2	42668243	-1
2	43499132	1
2	43787234	-1
2	43789595	-1
2	44044446	-1
2	44080939	-1
2	44144007	1
2	44145143	1
2	45005734	1
2	45082003	1
2	45086190	1
2	45090300	-1
2	45162448	-1
2	45255885	1
2	45257610	1
2	45298834	1
2	45383806	1
2	45388683	1
2	45391901	1
2	45396902	-1
2	45396372	-1
2	45400657	-1
2	45426932	1
2	45430017	1
2	45432720	-1
2	45443576	1
2	45452330	1
2	45778552	1
2	45894156	-1
2	45898533	1
2	45951057	1
2	45978875	1
2	45995131	-1
2	46367910	-1
2	46421208	1
2	46668523	1
2	46682665	1
2	46718059	-1
2	46736420	-1
2	46742895	-1
2	46744615	-1
2	46747751	-1
2	46756387	-1
2	46834129	-1
2	46862930	-1
2	46865179	-1
2	46870743	-1
2	46878979	-1
2	46896603	1
2	46897724	1
2	46939863	-1
2	46949319	-1
2	46954465	1
2	46974586	1
2	46979465	-1
2	47013575	-1
2	47167834	1
2	47171641	-1
2	47210540	-1
2	47264960	1
2	47269472	-1
2	47269901	-1
2	47280101	1
2	47281837	1
2	47302159	1
2	47372217	1
2	47383754	-1
2	47383472	-1
2	47439118	1
2	47442549	-1
2	47446758	-1
2	47476744	1
2	47635394	-1
2	47646533	-1
2	47682968	1
2	47688671	-1
2	47717040	1
2	47744239	1
2	47760345	-1
2	47773072	-1
2	48029851	-1
2	48441154	1
2	48448734	1
2	48459314	1
2	48487463	1
2	48498097	1
2	48692640	1
2	48718600	-1
2	48874627	-1
2	48983376	-1
2	49004283	-1
2	49075974	-1
2	49084267	1
2	49089236	1
2	49101492	-1
2	49183627	1
2	49256871	1
2	49261439	1
2	49268505	1
2	49266725	1
2	49283984	1
2	49313956	1
2	49321627	-1
2	49335585	1
2	49376862	1
2	49381837	-1
2	49416545	1
2	49437267	-1
2	49439398	1
2	49476414	1
2	49519958	-1
2	49533234	1
2	49538350	-1
2	49579409	-1
2	49591749	-1
2	49634846	-1
2	49660596	-1
2	49672728	1
2	49678963	-1
2	49711203	-1
2	49741601	1
2	49746765	1
2	49761622	-1
2	49772666	-1
2	49792377	-1
2	49796844	-1
2	49921597	1
2	50005174	1
2	50017233	1
2	50023342	1
2	50030404	1
2	50096803	-1
2	50097581	-1
2	50097975	-1
2	50113583	-1
2	50261851	1
2	50269639	-1
2	50357070	1
2	50386948	1
2	50512765	1
2	50526933	1
2	50547715	-1
2	50550877	1
2	50561031	-1
2	50683306	-1
2	50692563	-1
2	50692980	-1
2	50695855	-1
2	50711247	-1
2	50772027	-1
2	50906106	1
2	50905791	1
2	51027212	-1
2	51026917	-1
2	51052219	-1
2	51119925	1
2	51124709	1
2	51198803	1
2	51246425	1
2	51253844	1
2	51275647	-1
2	51299113	1
2	51379920	-1
2	51405317	1
2	51490787	1
2	51513190	1
2	51527934	-1
2	51527935	-1
2	51526581	-1
2	51560630	-1
2	51565141	1
2	51636884	1
2	51638916	-1
2	51682694	-1
2	51695842	1
2	51704380	1
2	51714137	-1
2	51717182	-1
2	51784213	1
2	51790462	-1
2	51868158	-1
2	51876585	-1
2	51930299	-1
2	51935736	-1
2	51979220	1
2	51994401	1
2	51998762	1
2	52007045	1
2	52010988	-1
2	52019280	-1
2	52022333	1
2	52032590	1
2	52061246	1
2	52123104	-1
2	52123104	-1
2	52131472	-1
2	52198159	1
2	52200415	1
2	52201780	1
2	52244414	1
2	52256653	1
2	52267263	1
2	52315453	1
2	52345633	1
2	52352023	-1
2	52385998	-1
2	52398425	-1
2	52399475	-1
2	52503176	-1
2	52512483	-1
2	52529893	-1
2	52530163	-1
2	52531310	-1
2	52547961	-1
2	52595288	-1
2	52617493	-1
2	52619249	-1
2	52643438	-1
2	52652622	-1
2	52660710	-1
2	52736582	-1
2	52768929	-1
2	52774222	1
2	52797939	1
2	53032850	1
2	53032477	1
2	53049923	-1
2	53150291	-1
2	53153129	-1
2	53236965	-1
2	53343434	-1
2	53360566	-1
2	53416994	-1
2	53452517	1
2	53465355	-1
2	53476906	-1
2	53504622	-1
2	53520182	-1
2	53669764	-1
2	53673521	1
2	53688481	1
2	53694484	1
2	53917120	-1
2	53923682	-1
2	53932982	-1
2	53976140	-1
2	53976091	-1
2	53993342	1
2	54014672	1
2	54017327	-1
2	54022973	-1
2	54033740	1
2	54046764	1
2	54090747	1
2	54156834	-1
2	54170586	-1
2	54173781	-1
2	54180150	-1
2	54257988	1
2	54282333	-1
2	54424765	1
2	54428058	1
2	54431458	-1
2	54439854	-1
2	54441534	-1
2	54448968	-1
2	54494295	1
2	54509137	-1
2	54510265	-1
2	54516825	1
2	54517016	1
2	54534830	-1
2	54558430	-1
2	54579776	-1
2	54590416	1
2	54593812	-1
2	54602100	-1
2	54613097	1
2	54616621	-1
2	54632240	-1
2	54638071	1
2	54640566	1
2	54644625	1
2	54653551	1
2	54667259	1
2	54689704	1
2	54696319	1
2	54701232	-1
2	54791283	-1
2	54858585	-1
2	54940642	1
2	54942877	-1
2	55005821	1
2	55044976	-1
2	55072599	-1
2	55172055	1
2	55214862	1
2	55219116	-1
2	55222580	1
2	55230401	-1
2	55231244	-1
2	55238417	1
2	55259777	1
2	55285489	-1
2	55293886	-1
2	55308876	1
2	55333693	-1
2	55381591	-1
2	55385955	-1
2	55391767	1
2	55398175	-1
2	55398325	-1
2	55401949	-1
2	55404307	-1
2	55415795	1
2	55421451	1
2	55425879	-1
2	55428970	-1
2	55435138	1
2	55444067	1
2	55448330	-1
2	55454736	-1
2	55514209	1
2	55518088	-1
2	55521061	-1
2	55523672	1
2	55528987	1
2	55530665	1
2	55560578	1
2	55579612	1
2	55581444	1
2	55584331	-1
2	55608885	1
2	55664141	1
2	55674063	-1
2	55676448	-1
2	55680674	1
2	55701566	1
2	55706004	-1
2	55723719	-1
2	55728445	1
2	55735182	-1
2	55747476	-1
2	55796702	1
2	55802662	1
2	55809767	-1
2	55811482	-1
2	55823752	1
2	55830818	1
2	55841858	-1
2	55844816	-1
2	55867454	1
2	55869465	1
2	55934311	1
2	55951531	-1
2	55954495	-1
2	55957540	1
2	55966235	-1
2	56012048	1
2	56019628	1
2	56024150	-1
2	56044860	1
2	56048492	1
2	56054006	-1
2	56064996	1
2	56071207	1
2	56085241	-1
2	56112595	1
2	56115384	-1
2	56123143	1
2	56141183	-1
2	56148416	1
2	56157481	1
2	56162727	1
2	56164423	-1
2	56171740	1
2	56178351	1
2	56183443	-1
2	56215706	1
2	56222818	1
2	56230686	1
2	56236869	1
2	56247000	1
2	56252676	1
2	56258031	1
2	56262360	-1
2	56301691	-1
2	56301699	-1
2	56305404	1
2	56310994	-1
2	56326311	1
2	56327353	-1
2	56350763	1
2	56359041	-1
2	56370398	-1
2	56376444	1
2	56389724	1
2	56396538	-1
2	56412544	-1
2	56433091	1
2	56444933	1
2	56449619	-1
2	56485325	1
2	56518557	1
2	56537794	1
2	56550740	-1
2	56552201	1
2	56556030	1
2	56565819	1
2	56589903	1
2	56603523	-1
2	56655081	-1
2	56661262	-1
2	56696735	1
2	56712825	1
2	56727794	1
2	56747816	-1
2	56751665	1
2	56760588	1
2	56766751	-1
2	56769663	1
2	56794221	1
2	56830997	1
2	56841652	1
2	56859987	1
2	56871877	-1
2	56907196	1
2	56912676	-1
2	56917444	1
2	56918812	-1
2	56926795	1
2	56932825	-1
2	56959234	1
2	56964844	-1
2	56968000	-1
2	56972154	-1
2	56979736	-1
2	56986874	1
2	57018707	1
2	57022221	1
2	57023733	1
2	57030069	1
2	57040003	-1
2	57047182	-1
2	57053545	-1
2	57085553	1
2	57107533	1
2	57113779	-1
2	57141633	-1
2	57143691	-1
2	57147397	1
2	57152829	1
2	57158259	-1
2	57166000	-1
2	57175969	1
2	57195004	-1
2	57209069	1
2	57209069	1
2	57220185	1
2	57223980	-1
2	57231492	1
2	57255659	1
2	57265977	1
2	57419063	-1
2	57430590	-1
2	57449886	1
2	57459908	-1
2	57469508	1
2	57472291	-1
2	57489894	-1
2	57496466	-1
2	57501047	-1
2	57508474	-1
2	57519419	-1
2	57535587	1
2	57541254	-1
2	57544598	-1
2	57552542	1
2	57557511	1
2	57562862	1
2	57587694	1
2	57587365	1
2	57590091	-1
2	57605477	1
2	57611686	-1
2	57630118	1
2	57634642	-1
2	57645138	-1
2	57664106	1
2	57680722	-1
2	57703517	-1
2	57732824	-1
2	57736898	-1
2	57740395	-1
2	57746840	-1
2	57755637	1
2	57756856	-1
2	57758220	1
2	57770524	1
2	57772844	-1
2	57781053	-1
2	57785835	1
2	57802876	-1
2	57827287	1
2	57834786	1
2	57847060	-1
2	57861509	-1
2	57873068	-1
2	57894523	1
2	57901327	1
2	57926099	1
2	57933002	1
2	57942473	-1
2	57954259	-1
2	57959104	1
2	57966496	1
2	57986417	-1
2	57987706	-1
2	57993057	1
2	58006066	-1
2	58011248	-1
2	58024985	-1
2	58030310	-1
2	58075989	1
2	58080793	1
2	58086814	-1
2	58096263	-1
2	58109993	1
2	58115863	-1
2	58131105	-1
2	58210158	-1
2	58238779	1
2	58288556	1
2	58294638	-1
2	58295306	-1
2	58299298	-1
2	58306503	-1
2	58336583	1
2	58396113	-1
2	58401666	-1
2	58406013	1
2	58410576	-1
2	58420421	-1
2	58430149	1
2	58454123	1
2	58501503	1
2	58511011	-1
2	58550237	-1
2	58557237	-1
2	58568389	-1
2	58604355	1
2	58609311	-1
2	58641806	-1
2	58659904	1
2	58658540	1
2	58659595	-1
2	58663139	-1
2	58668597	1
2	58677327	1
2	58682369	-1
2	58691090	1
2	58702499	-1
2	58704119	-1
2	58728694	-1
2	58732724	-1
2	58737714	1
2	58745158	1
2	58751849	1
2	58756100	1
2	58759284	1
2	58763184	1
2	58769961	1
2	58837153	1
2	58852166	-1
2	58865459	-1
2	58869613	1
2	58871500	-1
2	58874747	1
2	58877915	-1
2	58884060	-1
2	58893068	-1
2	58907284	-1
2	58910604	-1
2	58961872	1
2	58998425	1
2	58998425	1
2	59002281	-1
2	59006136	1
2	59011194	1
2	59022149	-1
2	59034636	-1
2	59040391	-1
2	59049524	-1
2	59084321	1
2	59100513	1
2	59144404	-1
2	59157629	1
2	59163675	1
2	59169624	-1
2	59173757	-1
2	59188266	1
2	59191813	-1
2	59197044	1
2	59203432	1
2	59211442	-1
2	59222427	1
2	59234382	1
2	59255286	-1
2	59266116	-1
2	59282468	-1
2	59326122	-1
2	59349449	1
2	59389529	1
2	59434619	1
2	59440440	1
2	59447944	1
2	59459938	1
2	59472921	1
2	59494820	-1
2	59538366	-1
2	59553779	-1
2	59555825	1
2	59561001	1
2	59566750	-1
2	59594483	-1
2	59602179	-1
2	59612042	1
2	59616409	-1
2	59618975	1
2	59623777	1
2	59633415	-1
2	59639238	-1
2	59646420	-1
2	59650257	-1
2	59654876	-1
2	59660631	-1
2	59711799	1
2	59718886	-1
2	59730525	1
2	59741808	1
2	59751616	1
2	59756244	1
2	59766507	-1
2	59772553	1
2	59776068	-1
2	59787331	1
2	59800016	1
2	59810222	1
2	59823146	1
2	59825090	1
2	59828420	-1
2	59828858	-1
2	59844699	-1
2	59862373	1
2	59868997	-1
2	59873542	-1
2	59875449	-1
2	59878818	1
2	59908137	1
2	59913699	-1
2	59917705	-1
2	59924099	-1
2	59927506	-1
2	59953047	1
2	59953746	1
2	59969987	-1
2	59984661	-1
2	59987126	-1
2	60003201	-1
2	60010769	1
2	60020094	-1
2	60038078	-1
2	60059056	-1
2	60075529	1
2	60086393	-1
2	60095854	-1
2	60106036	1
2	60116046	1
2	60118218	-1
2	60139423	-1
2	60161387	1
2	60190373	-1
2	60227590	-1
2	60289665	-1
2	60319999	1
2	60323940	-1
2	60328423	-1
2	60335578	1
2	60346050	-1
2	60348832	-1
2	60382204	1
2	60395054	1
2	60394790	1
2	60400015	-1
2	60410618	-1
2	60418446	1
2	60423306	-1
2	60423512	-1
2	60426066	1
2	60433903	-1
2	60433455	-1
2	60441788	-1
2	60453663	1
2	60464901	-1
2	60476385	1
2	60477231	1
2	60493968	-1
2	60506316	-1
2	60511778	-1
2	60515487	-1
2	60519704	-1
2	60526964	1
2	60531567	-1
2	60536066	1
2	60549548	1
2	60552639	1
2	60560681	1
2	60566943	1
2	60584011	1
2	60593684	-1
2	60597237	1
2	60606234	1
2	60620650	-1
2	60651599	1
2	60654807	1
2	60657951	1
2	60660960	-1
2	60671948	1
2	60678719	-1
2	60683870	-1
2	60690312	-1
2	60697213	-1
2	60709565	1
2	60711768	1
2	60718597	1
2	60725014	-1
2	60728307	1
2	60731563	-1
2	60779875	1
2	60787154	-1
2	60812504	-1
2	60819310	1
2	60824161	-1
2	60833123	-1
2	60852719	1
2	60857879	-1
2	60877175	1
2	60902263	1
2	60904956	-1
2	60906776	1
2	60926218	1
2	60930437	1
2	60936873	-1
2	60941965	-1
2	60974672	1
2	60981390	1
2	60989856	1
2	60993283	1
2	60997591	1
2	61007279	1
2	61011995	-1
2	61019287	-1
2	61023180	-1
2	61023193	-1
2	61028668	1
2	61030784	-1
2	61038134	1
2	61044578	1
2	61051060	-1
2	61063537	1
2	61066747	-1
2	61073626	1
2	61076692	-1
2	61082131	-1
2	61090899	-1
2	61104478	1
2	61118419	1
2	61126840	1
2	61131324	-1
2	61132466	-1
2	61139980	1
2	61140390	1
2	61151966	1
2	61165752	1
2	61176985	-1
2	61225477	-1
2	61238010	1
2	61259370	1
2	61285921	1
2	61294001	1
2	61308368	1
2	61311759	1
2	61314295	-1
2	61319926	1
2	61323226	1
2	61325139	1
2	61371260	1
2	61376838	-1
2	61379219	1
2	61384088	1
2	61390080	-1
2	61397204	1
2	61402569	-1
2	61413952	-1
2	61421620	1
2	61428974	1
2	61432031	1
2	61436964	-1
2	61448450	1
2	61455622	1
2	61459151	1
2	61469106	-1
2	61476318	-1
2	61478712	1
2	61480372	-1
2	61488167	-1
2	61492372	1
2	61493821	1
2	61506333	-1
2	61531989	1
2	61539832	-1
2	61552328	1
2	61556419	-1
2	61561564	1
2	61569297	-1
2	61570873	-1
2	61575327	1
2	61589783	-1
2	61591125	1
2	61595689	1
2	61616692	1
2	61621742	1
2	61627031	1
2	61664005	1
2	61674365	1
2	61680198	-1
2	61717248	1
2	61715129	1
2	61724186	1
2	61732204	-1
2	61758290	1
2	61765740	-1
2	61790404	1
2	61799396	1
2	61809102	1
2	61811988	1
2	61821105	1
2	61823673	-1
