Transcript start (bp)	Chromosome/scaffold name	Transcript end (bp)	Strand	Gene start (bp)	Gene end (bp)
71258152	1	71259955	1	71258152	71259955
71260835	1	71264056	-1	71260835	71264056
71265099	1	71269130	-1	71265099	71269130
71269724	1	71273227	-1	71269724	71273227
71289623	1	71290654	-1	71289623	71290654
71291840	1	71296187	1	71291840	71296187
71297135	1	71301052	1	71297135	71301052
71302068	1	71305448	1	71302068	71305448
71302068	1	71305448	1	71302068	71305448
71313791	1	71318495	1	71313791	71318495
71318503	1	71321327	-1	71318503	71321327
71325528	1	71329383	-1	71325528	71329383
71350500	1	71356254	-1	71350500	71356254
71366403	1	71368556	1	71366403	71368556
71376292	1	71379916	1	71376292	71379916
71381724	1	71389789	1	71381724	71389789
71392888	1	71396097	-1	71392888	71396097
71396413	1	71399743	1	71396413	71399743
71403382	1	71404114	-1	71403382	71404114
71412272	1	71414347	-1	71412272	71414347
71427502	1	71429210	1	71427502	71429210
71432708	1	71436744	1	71432708	71436744
71443983	1	71448752	1	71443983	71448752
71450761	1	71452295	-1	71450761	71452295
71452904	1	71457371	1	71452904	71457371
71460993	1	71465081	-1	71456208	71465081
71456208	1	71465081	-1	71456208	71465081
71460051	1	71465081	-1	71456208	71465081
71474022	1	71476050	1	71474022	71476050
71480900	1	71484247	-1	71480900	71484247
71480900	1	71484247	-1	71480900	71484247
71488046	1	71498828	1	71488046	71498828
71498940	1	71501463	-1	71498940	71501463
71511562	1	71516390	1	71511562	71516390
71516650	1	71519235	-1	71516650	71519235
71520730	1	71525731	1	71520730	71525731
71528939	1	71529505	1	71528939	71529505
71531355	1	71533265	1	71531355	71533265
71534023	1	71534532	1	71534023	71534532
71535996	1	71538418	-1	71535996	71538418
71539130	1	71539735	1	71539130	71539735
71541078	1	71545901	-1	71541078	71545901
71553347	1	71554900	-1	71553347	71554900
71556405	1	71560226	1	71556405	71560226
71560729	1	71562178	1	71560729	71562178
71563547	1	71564125	1	71563547	71564125
71569514	1	71571620	1	71569514	71571620
71574647	1	71588110	1	71574647	71588110
71596638	1	71598177	-1	71596638	71598177
71619988	1	71621227	-1	71619988	71621227
71623976	1	71627797	-1	71623976	71627797
71631121	1	71638065	1	71631121	71638065
71639193	1	71640321	-1	71639193	71640321
71640621	1	71643558	-1	71640621	71643558
71649380	1	71654740	1	71649380	71654740
71656322	1	71658494	-1	71656322	71658494
71666833	1	71674998	-1	71666833	71678383
71666858	1	71678383	-1	71666833	71678383
71702322	1	71704667	1	71702322	71704667
71707248	1	71709833	1	71707248	71709833
71723413	1	71728297	1	71723413	71728297
71734961	1	71736266	-1	71734961	71736266
71749256	1	71750379	1	71749256	71750379
71752511	1	71752726	1	71752511	71752726
71754142	1	71754477	-1	71754142	71754477
71765956	1	71767316	1	71765956	71767316
71768824	1	71773423	1	71768824	71773423
71777193	1	71780972	1	71777193	71780972
71782861	1	71783406	-1	71782861	71783406
71784566	1	71788967	-1	71784566	71788967
71784566	1	71788408	-1	71784566	71788967
71797586	1	71797762	1	71797586	71797762
71801621	1	71804738	1	71801621	71804738
71807139	1	71810921	-1	71807139	71810921
71814239	1	71818119	-1	71814239	71818119
71818611	1	71822704	-1	71818611	71822704
71822877	1	71833489	1	71822877	71833489
71836409	1	71838388	1	71836409	71838388
71841499	1	71843573	1	71841499	71843573
71841499	1	71842336	1	71841499	71843573
71843095	1	71846150	-1	71843095	71846150
71847681	1	71848341	1	71847681	71848341
71863377	1	71864243	-1	71863377	71864243
71874980	1	71876702	-1	71874980	71876702
71878958	1	71882188	-1	71878958	71882188
71886103	1	71887793	-1	71886103	71887793
71889614	1	71890353	-1	71889614	71890353
71890457	1	71891987	-1	71890457	71891987
71894883	1	71895137	-1	71894883	71895137
71909172	1	71909351	-1	71909172	71909351
71920761	1	71923039	-1	71920761	71923039
71933391	1	71936613	1	71933391	71936613
71933391	1	71936613	1	71933391	71936613
71941400	1	71941991	-1	71941400	71941991
71955020	1	71959242	-1	71955020	71959242
71964601	1	71966512	-1	71964601	71966512
71967664	1	71969787	1	71967664	71969787
71971741	1	71974317	-1	71971741	71974317
72015770	1	72031581	1	72015770	72031581
72043953	1	72049290	1	72043953	72049290
72051554	1	72053908	1	72051554	72053908
72054667	1	72056839	1	72054667	72056839
72057997	1	72059040	-1	72057997	72059040
72065014	1	72069940	-1	72065014	72069940
72082544	1	72083588	-1	72082544	72083588
72093613	1	72096011	1	72093613	72096011
72096867	1	72102615	-1	72096867	72102615
72118035	1	72118985	1	72118035	72118985
72119090	1	72120561	-1	72119090	72120561
72121252	1	72122585	1	72121252	72122585
72125370	1	72129092	1	72125370	72129092
72144875	1	72146368	-1	72144875	72146368
72170465	1	72172197	1	72170465	72172197
72177542	1	72179600	1	72177542	72179600
72188733	1	72190085	1	72188733	72190085
72192758	1	72194092	1	72192758	72194092
72202073	1	72205498	1	72202073	72205498
72211052	1	72215745	1	72211052	72217200
72211052	1	72213781	1	72211052	72217200
72211052	1	72217200	1	72211052	72217200
72211052	1	72217189	1	72211052	72217200
72211052	1	72217155	1	72211052	72217200
72215200	1	72217863	-1	72215200	72217863
72221059	1	72224370	1	72221059	72224370
72224827	1	72226416	-1	72224827	72226416
72227158	1	72227677	1	72227158	72227677
72228950	1	72232952	-1	72228950	72232952
72242299	1	72242883	-1	72242299	72242883
72246758	1	72248026	-1	72246758	72248026
72250715	1	72254838	-1	72250715	72254838
72293239	1	72295972	1	72293239	72295972
72303033	1	72307146	1	72303033	72307146
72308275	1	72310170	1	72308275	72310170
72310572	1	72313605	-1	72310572	72313605
72314319	1	72319362	-1	72314319	72319362
72327775	1	72330000	-1	72327775	72330000
72332924	1	72333657	-1	72332924	72333657
72355134	1	72358696	1	72355134	72358696
72358953	1	72362187	-1	72358953	72362187
72367809	1	72371326	-1	72367809	72371326
72377697	1	72382304	-1	72377697	72382304
72384871	1	72387260	-1	72384871	72387260
72393693	1	72399207	-1	72393693	72399207
72407543	1	72408316	-1	72407543	72408316
72408763	1	72411925	-1	72408763	72411925
72412652	1	72413547	-1	72412652	72413547
72414730	1	72417310	-1	72414730	72417310
72419383	1	72420711	-1	72419383	72420711
72421113	1	72423342	1	72421113	72423342
72425937	1	72426974	1	72425937	72426974
72432374	1	72434169	-1	72432374	72434169
72438586	1	72440949	1	72438586	72440949
72442009	1	72445919	-1	72442009	72445919
72447907	1	72450487	-1	72447907	72450487
72459797	1	72464464	1	72459797	72464464
72464861	1	72467556	-1	72464861	72467556
72472728	1	72478692	-1	72472728	72478692
72484929	1	72490408	-1	72484929	72490408
72510807	1	72512654	1	72510807	72512654
72517435	1	72519593	-1	72517435	72519593
72524121	1	72528534	-1	72524121	72528534
72532657	1	72534353	1	72532657	72534353
72559585	1	72564208	1	72559585	72564208
72565216	1	72566798	1	72565216	72566798
72568194	1	72569708	-1	72568194	72569708
72580473	1	72585967	1	72580473	72585967
72586718	1	72587396	-1	72586718	72587396
72589554	1	72590650	1	72589554	72590650
72593087	1	72596688	-1	72593087	72596688
72593087	1	72596688	-1	72593087	72596688
72601391	1	72601999	-1	72601391	72601999
72602848	1	72604918	1	72602848	72604918
72610738	1	72612315	1	72610738	72612315
72615329	1	72623544	-1	72615329	72623720
72615329	1	72623720	-1	72615329	72623720
72632438	1	72634221	1	72632438	72634221
72636249	1	72637013	-1	72636249	72637013
72638118	1	72644658	-1	72638118	72644658
72649335	1	72649751	1	72649335	72649751
72651380	1	72654364	1	72651380	72654364
72659681	1	72660269	-1	72659681	72660269
72664796	1	72670947	-1	72664796	72670947
72688705	1	72692155	1	72688705	72692155
72711626	1	72713384	1	72711626	72713384
72730152	1	72733998	1	72730152	72733998
72748364	1	72752935	-1	72748364	72752935
72758555	1	72769801	-1	72758555	72769801
72787913	1	72794762	-1	72787913	72794762
72798991	1	72800105	1	72798991	72800105
72810260	1	72812527	1	72810260	72812527
72813195	1	72813979	1	72813195	72813979
72826466	1	72827108	1	72826466	72827108
72831112	1	72842613	1	72831112	72842613
72844657	1	72846679	-1	72844657	72846679
72847027	1	72854198	-1	72847027	72854198
72866523	1	72867550	-1	72866523	72867550
72873805	1	72881500	1	72873805	72881500
72881666	1	72884788	-1	72881666	72884788
72896933	1	72898228	1	72896933	72898228
72900306	1	72902836	-1	72900306	72902836
72905280	1	72913325	-1	72905280	72913325
72913622	1	72914412	1	72913622	72914412
72918866	1	72919995	-1	72918866	72919995
72922012	1	72924148	-1	72922012	72924148
72924793	1	72928226	1	72924793	72928226
72928970	1	72938123	-1	72928970	72938123
72932826	1	72937712	1	72932826	72937712
72938272	1	72940148	1	72938272	72940148
72941304	1	72942767	1	72941304	72942767
72944838	1	72949345	-1	72944838	72949345
72957136	1	72959754	1	72957136	72959754
72960151	1	72966713	-1	72960151	72966713
72977318	1	72979714	-1	72977318	72979714
72980607	1	72986809	-1	72980607	72986809
72994605	1	72995864	1	72994605	72995864
72996048	1	72999398	-1	72996048	72999398
73000226	1	73002692	-1	73000226	73002692
73005640	1	73006227	1	73005640	73006227
73011904	1	73013544	1	73011904	73013544
73014528	1	73019063	-1	73014528	73019063
73045623	1	73047287	-1	73045623	73047287
73052843	1	73053262	1	73052843	73053262
73060885	1	73061332	-1	73060885	73061332
73062869	1	73063358	-1	73062869	73063358
73065344	1	73066268	-1	73065344	73066268
73066544	1	73067488	1	73066544	73067488
73068797	1	73070793	-1	73068797	73070793
73074585	1	73079710	1	73074585	73079724
73074585	1	73079724	1	73074585	73079724
73080434	1	73081211	-1	73080434	73081211
73100042	1	73106497	-1	73100042	73106497
73142087	1	73143834	1	73142087	73143834
73152197	1	73154237	-1	73152197	73154237
73154595	1	73157375	-1	73154595	73157375
73158715	1	73162325	-1	73158715	73162325
73163512	1	73169116	1	73163512	73169116
73174351	1	73175629	1	73174351	73175629
73186587	1	73187858	1	73186587	73187858
73188172	1	73188828	1	73188172	73188828
73196504	1	73197803	1	73196504	73197803
73202812	1	73204107	-1	73202812	73204107
73210945	1	73212232	-1	73210945	73212232
73219435	1	73220741	-1	73219435	73220741
73230423	1	73235266	1	73230423	73235266
73230423	1	73235266	1	73230423	73235266
73236087	1	73241028	1	73236087	73241028
73245271	1	73249198	1	73245271	73249198
73255352	1	73267414	1	73255352	73267414
73271101	1	73271813	1	73271101	73271813
73275968	1	73278362	1	73275968	73278362
73293134	1	73296020	1	73293134	73296020
73300114	1	73303213	1	73300114	73303213
73307018	1	73308942	-1	73307018	73308942
73309441	1	73312942	1	73309441	73312942
73316137	1	73320788	1	73316137	73320788
73327560	1	73328507	-1	73327560	73328507
73331971	1	73340031	-1	73331971	73340031
73341246	1	73342891	1	73341246	73342891
73344150	1	73344695	1	73344150	73344695
73346289	1	73346658	1	73346289	73346658
73356063	1	73356365	1	73356063	73356365
73357737	1	73358868	1	73357737	73358868
73429613	1	73431772	1	73429613	73431772
73432950	1	73434395	1	73432950	73434395
73435604	1	73436965	-1	73435604	73436965
73461831	1	73466924	1	73461831	73466924
73467227	1	73469825	-1	73467227	73469825
73477234	1	73477647	1	73477234	73477647
73488844	1	73489576	-1	73488844	73489576
73489679	1	73489954	-1	73489679	73489954
73501279	1	73502260	1	73501279	73502260
73504411	1	73504632	-1	73504411	73504632
73504675	1	73505265	-1	73504675	73505265
73505662	1	73505930	-1	73505662	73505930
73509110	1	73522824	1	73509110	73522824
73509110	1	73522824	1	73509110	73522824
73529913	1	73550376	-1	73529913	73550376
73559407	1	73563605	-1	73559407	73563605
73571237	1	73593382	-1	73571237	73593382
73606008	1	73607247	-1	73606008	73607247
73612717	1	73618752	-1	73612717	73618752
73620463	1	73625181	-1	73620463	73625181
73627075	1	73629505	-1	73627075	73629505
73630159	1	73631070	1	73630159	73631070
73649578	1	73654071	-1	73649578	73654071
73654526	1	73658407	1	73654526	73658407
73660759	1	73662728	1	73660759	73662728
73677013	1	73679159	1	73677013	73679159
73680664	1	73684829	1	73680664	73684829
73680664	1	73684829	1	73680664	73684829
73685222	1	73686043	-1	73685222	73686043
73686461	1	73690254	-1	73686461	73690254
73690442	1	73693499	-1	73690442	73693499
73696030	1	73703521	-1	73696030	73703521
73714007	1	73714303	-1	73714007	73714303
73782882	1	73799776	1	73782882	73799776
73800351	1	73804941	1	73800351	73804941
73805334	1	73826731	1	73805334	73826731
73827043	1	73827656	-1	73827043	73827656
73828687	1	73832215	1	73828687	73832215
73832656	1	73833847	-1	73832656	73833847
18569	GL002795.1	18738	-1	18569	18738
12236	GL002802.1	12961	1	12236	12961
4156	GL002815.1	6140	1	4156	6140
733	GL002818.1	1436	1	733	1436
855	GL002821.1	1303	1	855	1303
864	GL002823.1	2219	-1	864	2219
7265	GL002833.1	8745	-1	7265	8745
12273	GL002833.1	13637	-1	12273	13637
7512	GL002834.1	12622	1	7512	12622
532	GL002840.1	2881	-1	532	2881
5337	GL002844.1	5642	-1	5337	5642
445	GL002866.1	1704	-1	445	1704
976	GL002874.1	1202	-1	976	1202
7813	GL002877.1	9330	-1	7813	9330
9991	GL002878.1	15015	1	9991	15015
6231	GL002879.1	6913	1	6231	6913
533	GL002891.1	1885	-1	533	1885
549	GL002891.1	2021	1	549	2021
63779	2	113506	-1	63779	113506
115163	2	118796	-1	115163	118796
123977	2	125807	-1	123977	125807
129263	2	131530	-1	129263	131530
135092	2	135430	-1	135092	135430
138434	2	142111	1	138434	142111
143076	2	148301	1	143076	148301
148971	2	150728	1	148971	150728
153193	2	153675	1	153193	153675
154134	2	156914	-1	154134	156914
165298	2	166740	-1	165298	166740
184630	2	187528	-1	184630	187528
191914	2	198624	1	191914	198624
201209	2	207438	-1	201209	207438
224154	2	224706	-1	224154	224706
243635	2	244612	1	243635	244612
262006	2	272041	1	262006	272041
275660	2	276166	-1	275660	276166
299657	2	301144	-1	299657	301144
305816	2	310562	-1	305816	310562
314050	2	315638	1	314050	315638
317950	2	319566	-1	317950	319566
326963	2	329368	-1	326963	329368
329963	2	332990	-1	329963	332990
346725	2	349410	1	346725	349410
359454	2	362032	-1	359454	362032
371612	2	375578	1	371612	375578
379666	2	382969	1	379666	382969
393009	2	396452	-1	393009	396452
417567	2	418643	1	417567	418643
426181	2	427742	1	426181	427742
433696	2	443723	-1	433696	443723
446073	2	447218	1	446073	447218
451565	2	453137	1	451565	453137
455955	2	457807	1	455955	457807
460907	2	461923	1	460907	461923
465786	2	466803	1	465786	466803
468652	2	469601	-1	468652	469601
470676	2	471491	1	470676	471491
471592	2	476957	-1	471592	476957
480903	2	483428	1	480903	483428
486471	2	488699	1	486471	488699
490774	2	491746	-1	490774	491746
497415	2	499693	1	497415	499693
500571	2	502459	-1	500571	502459
503374	2	509511	-1	503374	509511
511365	2	512254	-1	511365	512254
518455	2	521523	1	518455	521523
518455	2	521523	1	518455	521523
521719	2	523633	-1	521719	523633
537098	2	541523	1	537098	541523
544089	2	544748	-1	544089	544748
548695	2	549354	1	548695	549354
553501	2	554567	-1	553501	554567
558575	2	559313	-1	558575	559313
564539	2	565417	1	564539	565417
572012	2	573566	1	572012	573566
576867	2	581344	-1	576867	581344
583410	2	587632	1	583410	587632
590953	2	591105	1	590953	591105
598497	2	601586	1	598497	601586
611501	2	613655	1	611501	613655
615653	2	616046	1	615653	616046
616934	2	621750	1	616934	621750
623804	2	627575	-1	623804	627575
628238	2	633452	-1	628238	633452
628238	2	633452	-1	628238	633452
637027	2	638341	-1	637027	638341
651334	2	652314	-1	651334	652314
661375	2	671560	1	661375	671622
661375	2	671622	1	661375	671622
672320	2	674242	-1	672320	674242
674529	2	677028	-1	674529	677028
674529	2	677028	-1	674529	677028
682141	2	683331	1	682141	683331
688342	2	691828	-1	688342	691828
696267	2	697891	-1	696267	697891
700903	2	702366	1	700903	702366
706423	2	707157	1	706423	707157
715955	2	717739	-1	715955	717739
731827	2	735359	1	731827	735359
743590	2	744897	-1	743590	744897
747225	2	747613	-1	747225	747613
753598	2	755148	1	753598	755148
761217	2	762905	-1	761217	762905
763407	2	764737	-1	763407	764737
765029	2	768661	-1	765029	768661
788461	2	793201	1	788461	793201
793712	2	795115	-1	793712	795115
796363	2	802717	-1	796363	802717
805502	2	809775	-1	805502	809775
823166	2	824421	1	823166	824421
828145	2	833261	-1	828145	833261
833358	2	843967	1	833358	843967
844608	2	846337	-1	844608	846337
847022	2	849208	-1	847022	849208
849950	2	852326	-1	849950	852326
882400	2	885049	-1	882400	885049
887280	2	893563	1	887280	893563
894664	2	894876	-1	894664	894876
901212	2	903364	1	901212	903364
923186	2	923371	-1	923186	923371
956383	2	963546	1	956383	963546
972559	2	973620	1	972559	973620
976712	2	977984	1	976712	977984
979157	2	985611	-1	979157	985611
1003722	2	1005284	1	1003722	1005284
1011500	2	1012003	1	1011500	1012003
1012060	2	1012254	1	1012060	1012254
1014195	2	1016073	1	1014195	1016073
1021016	2	1027252	1	1021016	1027252
1029227	2	1029597	1	1029227	1029597
1033414	2	1036104	1	1033414	1036104
1043708	2	1043842	-1	1043708	1043842
1045712	2	1047925	-1	1045712	1047925
1054991	2	1056703	1	1054991	1056703
1064166	2	1066004	-1	1064166	1066004
1068214	2	1069485	-1	1068214	1069485
1083192	2	1083878	1	1083192	1083878
1087032	2	1087349	1	1087032	1087349
1087718	2	1087912	1	1087718	1087912
1091098	2	1092597	-1	1091098	1092597
1100236	2	1101714	-1	1100236	1101714
1102001	2	1102342	-1	1102001	1102342
1106092	2	1106301	1	1106092	1106301
1107098	2	1108701	1	1107098	1108701
1114638	2	1116116	1	1114638	1116116
1117641	2	1119101	1	1117641	1119101
1121408	2	1122841	-1	1121408	1122841
1126432	2	1127916	1	1126432	1127916
1132783	2	1133211	1	1132783	1133211
1140318	2	1140746	-1	1140318	1140746
1147747	2	1148175	-1	1147747	1148175
1150652	2	1151043	-1	1150652	1151043
1158594	2	1159028	1	1158594	1159028
1164442	2	1165728	-1	1164442	1165728
1168797	2	1169264	1	1168797	1169264
1169931	2	1170362	-1	1169931	1170362
1179176	2	1180333	1	1179176	1180333
1195779	2	1197298	1	1195779	1197298
1200626	2	1202092	1	1200626	1202092
1209604	2	1209997	1	1209604	1209997
1214193	2	1215716	1	1214193	1215716
1216473	2	1219380	-1	1216473	1219380
1222116	2	1224737	-1	1222116	1224737
1226397	2	1227293	-1	1226397	1227293
1246667	2	1247548	-1	1246667	1247548
1251819	2	1252667	-1	1251819	1252667
1253990	2	1256241	-1	1253990	1256241
1259034	2	1260515	-1	1259034	1260515
1263142	2	1263342	-1	1263142	1263342
1266925	2	1269061	-1	1266925	1269061
1274803	2	1280401	-1	1274803	1280401
1285935	2	1286704	1	1285935	1286704
1289500	2	1291511	1	1289500	1291511
1293388	2	1295271	1	1293388	1295271
1297903	2	1302680	1	1297903	1302680
1311900	2	1315305	-1	1311900	1315305
1327412	2	1327783	-1	1327412	1327783
1332127	2	1333202	-1	1332127	1333202
1334287	2	1335369	-1	1334287	1335369
1338684	2	1339389	1	1338684	1339389
1343120	2	1344297	1	1343120	1344297
1354699	2	1357824	1	1354699	1357824
1360886	2	1361335	1	1360886	1361335
1363792	2	1364103	1	1363792	1364103
1371194	2	1374258	1	1371194	1374258
1380502	2	1384356	1	1380502	1384356
1388961	2	1390554	1	1388961	1390554
1393336	2	1422401	1	1393336	1422401
1423580	2	1430078	-1	1423580	1430078
1460607	2	1462435	1	1460607	1462435
1473023	2	1474333	1	1473023	1474333
1474395	2	1475068	1	1474395	1475068
1476421	2	1477930	-1	1476421	1477930
1478465	2	1482086	-1	1478465	1482086
1484068	2	1485686	-1	1484068	1485686
1489976	2	1497050	-1	1489976	1497050
1497194	2	1497322	-1	1497194	1497322
1509442	2	1516808	-1	1509442	1516808
1519875	2	1520198	1	1519875	1520198
1533523	2	1535197	1	1533523	1535197
1536759	2	1536923	1	1536759	1536923
1539127	2	1540191	1	1539127	1540191
1547018	2	1548053	-1	1547018	1548053
1558464	2	1560026	1	1558464	1560026
1562937	2	1564526	1	1562937	1564526
1570405	2	1572659	1	1570405	1572659
1573617	2	1576281	1	1573617	1576281
1577879	2	1579429	1	1577879	1579429
1585016	2	1585759	-1	1585016	1585759
1595168	2	1599111	1	1595168	1599111
1618709	2	1619042	1	1618709	1619042
1621981	2	1666822	1	1621981	1666822
1674180	2	1676096	1	1674180	1676096
1681914	2	1684234	-1	1681914	1684234
1692254	2	1694406	-1	1692254	1694406
1692254	2	1694338	-1	1692254	1694406
1697054	2	1699234	-1	1697054	1699234
1701369	2	1703827	-1	1701369	1703827
1710164	2	1712210	1	1710164	1712210
1723343	2	1724137	-1	1723343	1724137
1727466	2	1727990	-1	1727466	1727990
1749127	2	1750962	1	1749127	1750962
1753583	2	1755310	-1	1753583	1755310
1766959	2	1768694	1	1766959	1768694
1771045	2	1771519	1	1771045	1771519
1779931	2	1781643	1	1779931	1781643
1785402	2	1786849	1	1785402	1786849
1797229	2	1798785	-1	1797229	1798785
1804342	2	1806682	-1	1804342	1806682
1810186	2	1810785	-1	1810186	1810785
1815084	2	1816675	-1	1815084	1816675
1825620	2	1829287	1	1825620	1829287
1832991	2	1837334	1	1832991	1837334
1841215	2	1841451	-1	1841215	1841451
1910485	2	1911069	1	1910485	1911069
1917967	2	1918266	-1	1917967	1918266
1921809	2	1924061	-1	1921809	1924061
1926080	2	1930033	-1	1926080	1930033
1941667	2	1944847	-1	1941667	1944847
1949601	2	1958611	-1	1949601	1958611
1960124	2	1960663	-1	1960124	1960663
1969516	2	1970504	-1	1969516	1970504
1983734	2	1984762	1	1983734	1984762
1990598	2	1991313	-1	1990598	1991313
1992699	2	1997921	-1	1992699	1997921
2006571	2	2007302	1	2006571	2007302
2009635	2	2010308	1	2009635	2010308
2017449	2	2018661	-1	2017449	2018661
2022557	2	2024114	-1	2022557	2024114
2026534	2	2029400	-1	2026534	2029400
2030871	2	2031440	-1	2030871	2031440
2032473	2	2033561	-1	2032473	2033561
2038190	2	2038531	-1	2038190	2038531
2039613	2	2043792	-1	2039613	2043792
2046587	2	2047600	-1	2046587	2047600
2053633	2	2054592	1	2053633	2054592
2054784	2	2055972	-1	2054784	2055972
2056586	2	2060103	-1	2056586	2060103
2063715	2	2064062	-1	2063715	2064062
2064618	2	2066168	1	2064618	2066168
2068282	2	2068416	1	2068282	2068416
2070587	2	2074961	1	2070587	2074961
2102801	2	2107896	1	2102801	2107896
2112106	2	2114566	-1	2112106	2114566
2119678	2	2120727	-1	2119678	2120727
2126910	2	2127266	-1	2126910	2127266
2128646	2	2128816	1	2128646	2128816
2132182	2	2134156	1	2132182	2134156
2153679	2	2157872	1	2153679	2157872
2158797	2	2161515	-1	2158797	2161515
2175436	2	2176236	1	2175436	2176236
2179671	2	2180711	1	2179671	2180711
2187398	2	2188136	1	2187398	2188136
2189866	2	2192270	-1	2189866	2192270
2195914	2	2201288	-1	2195914	2201288
2205025	2	2206803	1	2205025	2206803
2216606	2	2218936	-1	2216606	2218936
2271442	2	2277624	1	2271442	2277624
2283673	2	2285811	-1	2283673	2285811
2291448	2	2293523	-1	2291448	2293523
2298636	2	2300693	-1	2298636	2300693
2302009	2	2304156	-1	2302009	2304156
2306519	2	2309925	1	2306519	2309925
2324721	2	2328617	-1	2324721	2328617
2352935	2	2354896	1	2352935	2354896
2364449	2	2374708	-1	2364449	2374708
2383895	2	2384454	1	2383895	2384454
2391538	2	2393943	-1	2391538	2393943
2399342	2	2401747	-1	2399342	2401747
2409278	2	2411362	1	2409278	2411362
2413451	2	2415638	-1	2413451	2415638
2419162	2	2420582	-1	2419162	2420582
2421651	2	2422910	-1	2421651	2422910
2430259	2	2432642	-1	2430259	2432642
2438154	2	2438717	1	2438154	2438717
2445161	2	2447154	-1	2445161	2447154
2455230	2	2460287	-1	2455230	2460287
2455230	2	2460287	-1	2455230	2460287
2460513	2	2460638	-1	2460513	2460638
2477724	2	2479070	1	2477724	2479070
2488940	2	2490088	1	2488940	2490088
2500404	2	2501123	-1	2500404	2501123
2554824	2	2555978	1	2554824	2555978
2564566	2	2569298	-1	2564566	2569298
2593632	2	2597515	-1	2593632	2597515
2613249	2	2613592	-1	2613249	2613592
2617090	2	2621216	1	2617090	2621216
2621442	2	2624387	1	2621442	2624387
2621442	2	2624372	1	2621442	2624387
2624567	2	2625511	-1	2624567	2625511
2634270	2	2634584	1	2634270	2634584
2637354	2	2637797	1	2637354	2637797
2639593	2	2641062	-1	2639593	2641062
2641617	2	2642225	1	2641617	2642225
2643400	2	2646942	1	2643400	2646942
2646989	2	2647777	-1	2646989	2647777
2649084	2	2649407	-1	2649084	2649407
2664988	2	2665456	1	2664988	2665456
2668984	2	2674788	-1	2668984	2674788
2668984	2	2674788	-1	2668984	2674788
2691410	2	2692012	1	2691410	2692012
2715080	2	2717529	1	2715080	2717529
2719788	2	2721763	-1	2719788	2721763
2725613	2	2733270	1	2725613	2733270
2736138	2	2740803	1	2736138	2740803
2769222	2	2770511	1	2769222	2770511
2782643	2	2784313	-1	2782643	2784313
2787166	2	2791982	1	2787166	2791982
2798657	2	2799511	-1	2798657	2799511
2808461	2	2811380	1	2808461	2811380
2813046	2	2819533	-1	2813046	2819533
2824006	2	2824791	-1	2824006	2824791
2829195	2	2830640	-1	2829195	2830640
2832841	2	2834008	-1	2832841	2834008
2834682	2	2836604	-1	2834682	2836604
2837880	2	2840088	1	2837836	2840088
2837836	2	2840088	1	2837836	2840088
2845432	2	2846243	1	2845432	2846243
2848257	2	2849182	1	2848257	2849182
2849723	2	2850577	-1	2849723	2850577
2858080	2	2858959	1	2858080	2858959
2860592	2	2864155	1	2860592	2864155
2873293	2	2875250	1	2873293	2875250
2884922	2	2889724	1	2884922	2889724
2908061	2	2909461	-1	2908061	2909461
2911986	2	2915860	-1	2911986	2915860
2936916	2	2938144	-1	2936916	2938144
2938784	2	2942159	-1	2938784	2942159
2962087	2	2964105	-1	2962087	2964105
3009000	2	3010686	-1	3009000	3010686
3011815	2	3018598	-1	3011815	3018598
3025337	2	3026396	1	3025337	3026396
3026780	2	3029932	-1	3026780	3029932
3040925	2	3042828	-1	3040925	3042828
3045701	2	3051459	1	3045701	3051459
3056226	2	3058426	1	3056226	3058426
3063859	2	3066411	1	3063859	3066411
3066760	2	3073803	-1	3066760	3073803
3075445	2	3080012	-1	3075445	3080012
3080921	2	3088185	-1	3080921	3088185
3088859	2	3089371	1	3088859	3089371
3091911	2	3093079	-1	3091911	3093079
3093557	2	3095750	1	3093557	3095750
3106922	2	3121147	1	3106922	3121147
3122655	2	3123573	-1	3122655	3123573
3123802	2	3124749	1	3123802	3124749
3133949	2	3143361	-1	3133949	3143361
3146876	2	3148171	-1	3146876	3148171
3154747	2	3155793	-1	3154747	3155793
3157012	2	3159503	-1	3157012	3159503
3160300	2	3165116	-1	3160300	3165116
3172662	2	3176457	1	3172662	3176457
3177892	2	3178345	1	3177892	3178345
3182346	2	3189591	-1	3182346	3189591
3182346	2	3189499	-1	3182346	3189591
3191827	2	3195892	-1	3191827	3195892
3206251	2	3208920	1	3206251	3208920
3279108	2	3282964	-1	3279108	3282964
3286177	2	3286677	1	3286177	3286677
3301357	2	3304742	1	3301357	3304742
3331088	2	3331376	-1	3331088	3331376
3340629	2	3344790	1	3340629	3344790
3348281	2	3354528	1	3348281	3354528
3355463	2	3360033	-1	3355463	3360033
3384650	2	3385861	1	3384650	3385861
3396608	2	3398559	-1	3396608	3398559
3399382	2	3402328	1	3399273	3402868
3399273	2	3402868	1	3399273	3402868
3403501	2	3406889	1	3403501	3406889
3403692	2	3406889	1	3403501	3406889
3403501	2	3406889	1	3403501	3406889
3407209	2	3410206	-1	3407209	3410206
3420735	2	3421004	-1	3420735	3421004
3431553	2	3432430	-1	3431553	3432430
3440014	2	3443734	-1	3440014	3443734
3444671	2	3447209	-1	3444671	3447209
3484771	2	3485409	-1	3484771	3485409
3504622	2	3505239	-1	3504622	3505239
3568941	2	3569600	-1	3568941	3569600
