# redundant lines because of different exons.
#Chromosome/scaffold	TES	Strand
3	73848577	1
3	73848577	1
3	73848577	1
3	4621245	1
3	4621245	1
3	4621245	1
3	4621245	1
3	4621245	1
3	4621245	1
2	68753513	-1
2	68753513	-1
2	68753513	-1
2	68753513	-1
2	68753513	-1
4	63302394	1
4	63302394	1
4	63302394	1
3	74348539	-1
3	74348539	-1
3	74348539	-1
3	74348539	-1
3	74348539	-1
3	74348539	-1
3	74348539	-1
1	70592880	-1
1	70592880	-1
1	70592880	-1
2	69941726	-1
2	69941726	-1
2	69941726	-1
2	69941726	-1
4	65686228	-1
4	59747373	-1
4	59747373	-1
4	59747373	-1
4	59747373	-1
4	59747373	-1
4	59747373	-1
4	59747373	-1
4	59747373	-1
4	59747373	-1
3	5406756	-1
2	18833026	-1
2	18833026	-1
2	18833026	-1
2	18833026	-1
2	18833026	-1
2	18833026	-1
2	18833026	-1
2	18833026	-1
2	18833026	-1
2	18833026	-1
8	53306124	-1
8	53306124	-1
2	72698499	1
2	72698499	1
2	72698499	1
2	72698499	1
2	72698499	1
2	115163	-1
2	115163	-1
2	115163	-1
2	115163	-1
2	115163	-1
2	65832810	-1
2	65832810	-1
2	65832810	-1
2	18965977	-1
2	18965977	-1
2	18965977	-1
2	18965977	-1
2	18965977	-1
2	18965977	-1
2	18965977	-1
2	18965977	-1
2	18965977	-1
2	18965977	-1
2	18965977	-1
2	18965977	-1
2	3385861	1
2	3385861	1
6	57689734	-1
6	57689734	-1
6	57689734	-1
6	57689734	-1
6	57689734	-1
6	57689734	-1
6	57689734	-1
6	57689734	-1
6	57689734	-1
6	57689734	-1
6	58664958	1
6	58664958	1
2	71607512	1
2	71607512	1
2	71607512	1
2	71607512	1
5	53277167	1
5	53277167	1
1	464149	1
3	56857007	1
3	56857007	1
3	56857007	1
3	56857007	1
1	24908363	1
1	24908363	1
1	24908363	1
1	24908363	1
1	24908363	1
2	68921765	1
2	68921765	1
7	61666734	1
1	11537671	-1
3	60118474	-1
6	59930165	-1
6	59930165	-1
6	59930165	-1
6	59930165	-1
6	59930165	-1
1	69031532	1
9	6905535	-1
8	385770	1
8	385770	1
8	385770	1
8	385770	1
8	385770	1
8	385770	1
8	385770	1
8	385770	1
1	7490706	-1
1	7490706	-1
1	7490706	-1
1	7490706	-1
1	56259755	-1
1	56259755	-1
4	44145048	-1
4	44145048	-1
4	44145048	-1
2	14038272	-1
9	15442162	-1
9	15442162	-1
9	15442162	-1
9	15442162	-1
9	15442162	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
4	46377919	-1
1	68762603	-1
1	68762603	-1
1	68762603	-1
2	58756100	1
9	46145352	-1
9	46145352	-1
9	46145352	-1
9	46145352	-1
9	46145352	-1
9	46145352	-1
9	46145352	-1
6	59866089	1
2	58998425	1
2	58998425	1
2	58998425	1
2	58998425	1
2	58998425	1
2	58998425	1
2	58998425	1
2	58998425	1
2	58998425	1
2	57162972	-1
2	57162972	-1
2	57162972	-1
2	57162972	-1
2	57162972	-1
2	57162972	-1
2	57162972	-1
9	50935759	-1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
10	163241	1
1	69714555	1
1	69714555	1
1	69714555	1
1	69714555	1
1	69714555	1
1	7129927	-1
1	7129927	-1
1	7129927	-1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
9	55797970	1
2	74571441	1
2	73999125	1
2	73999125	1
2	73999125	1
2	73999125	1
2	73999125	1
1	69538480	-1
1	69538480	-1
1	69538480	-1
1	69538480	-1
1	69538480	-1
1	69538480	-1
2	71284245	1
2	71284245	1
2	63175064	-1
4	12900517	1
4	12900517	1
4	12900517	1
4	12900517	1
4	12900517	1
4	12900517	1
7	56295854	-1
7	56295854	-1
7	56295854	-1
7	56295854	-1
7	56295854	-1
4	66016404	-1
1	576932	-1
1	2731122	-1
1	2731122	-1
1	2731122	-1
1	2731122	-1
1	2731122	-1
1	2731122	-1
1	2731122	-1
1	2731122	-1
1	2731122	-1
1	2731122	-1
3	62216555	1
3	62216555	1
1	2605733	-1
1	2605733	-1
10	1950327	-1
10	1950327	-1
10	1950327	-1
10	1950327	-1
10	1950327	-1
10	1950327	-1
10	1950327	-1
10	1950327	-1
1	2548707	-1
4	8892105	-1
4	8892105	-1
3	56258397	1
3	56258397	1
5	60973548	1
2	8750369	1
2	8750369	1
2	8750369	1
2	8750369	1
2	8750369	1
2	8750369	1
2	8750369	1
10	8551291	1
10	8551291	1
10	8551291	1
10	8551291	1
10	8551291	1
10	8551291	1
10	8551291	1
10	8551291	1
10	8551291	1
10	8551291	1
10	52940763	-1
10	52940763	-1
10	52940763	-1
10	52940763	-1
10	52940763	-1
7	55691201	-1
7	55691201	-1
7	55691201	-1
2	62423585	1
2	62423585	1
2	62423585	1
4	57282988	1
6	55634902	-1
6	55634902	-1
6	55634902	-1
6	55634902	-1
10	9663262	-1
10	9663262	-1
1	67455019	-1
1	67455019	-1
1	67455019	-1
1	67455019	-1
1	65794839	1
1	65794839	1
1	56399506	-1
7	63405506	1
7	63405506	1
7	63405506	1
7	62832594	1
7	62832594	1
7	62832594	1
7	62832594	1
7	62832594	1
7	62832594	1
7	62832594	1
6	45333032	-1
6	45333032	-1
6	45333032	-1
6	45333032	-1
6	45333032	-1
1	71941400	-1
7	727841	-1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
6	48140583	1
3	2535990	1
10	263903	-1
10	263903	-1
10	263903	-1
4	64082175	1
4	64082175	1
4	64082175	1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
4	44821156	-1
6	57301271	-1
6	57301271	-1
6	57301271	-1
1	4833775	-1
1	4833775	-1
8	2026503	1
8	2026503	1
8	2026503	1
8	2026503	1
8	2026503	1
8	2026503	1
8	2026503	1
4	48469353	1
4	48469353	1
4	48469353	1
4	48469353	1
4	48469353	1
4	9915200	1
4	1630029	1
4	1630029	1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
3	1878538	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
4	51191106	-1
3	6095854	1
4	10469603	1
4	10469603	1
1	14008336	1
1	14008336	1
1	14008336	1
9	50444795	1
9	50444795	1
9	50444795	1
9	50444795	1
2	61664005	1
9	3032459	-1
9	3032459	-1
9	3032459	-1
9	3032459	-1
9	3032459	-1
9	3032459	-1
9	3032459	-1
9	3032459	-1
9	3032459	-1
10	11670717	1
3	63229209	-1
3	63229209	-1
7	51790492	1
7	51790492	1
7	51790492	1
7	51790492	1
7	51790492	1
7	51790492	1
7	51790492	1
7	51790492	1
7	51790492	1
7	51790492	1
7	51790492	1
7	51790492	1
7	51790492	1
4	56063247	-1
1	7834582	1
9	56563200	1
3	70757001	-1
6	53680407	-1
6	53680407	-1
6	53680407	-1
6	53680407	-1
2	521523	1
2	521523	1
2	521523	1
2	521523	1
7	2177735	1
7	2177735	1
3	59800153	1
6	26675358	-1
6	26675358	-1
6	26675358	-1
6	26675358	-1
6	26675358	-1
6	26675358	-1
6	26675358	-1
6	26675358	-1
6	26675358	-1
6	26675358	-1
10	60425141	-1
10	60425141	-1
10	60425141	-1
10	60425141	-1
10	60425141	-1
10	60425141	-1
10	60425141	-1
10	60425141	-1
4	58833664	1
4	58833664	1
4	58833664	1
4	58833664	1
4	58833664	1
4	58833664	1
4	58833664	1
5	16043120	1
5	16043120	1
10	4188724	-1
1	66017973	1
1	66017973	1
9	47992573	-1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
6	52281265	1
4	63448944	-1
1	50995216	1
1	50995216	1
3	49144363	-1
3	49144363	-1
3	49144363	-1
3	49144363	-1
3	66435382	1
3	66435382	1
3	66435382	1
3	66435382	1
8	55459831	1
8	55459831	1
8	55459831	1
8	55459831	1
8	55459831	1
8	55459831	1
8	55459831	1
8	55459831	1
4	60120852	1
4	60120852	1
9	4252160	1
9	4252160	1
9	4252160	1
1	2681513	1
1	2681513	1
1	2681513	1
4	61262879	-1
1	70173877	-1
1	70173877	-1
2	69701777	-1
1	3288502	-1
1	3288502	-1
1	3288502	-1
1	3288502	-1
1	3288502	-1
1	3288502	-1
2	57540784	-1
2	57540784	-1
9	49874055	1
9	49874055	1
9	49874055	1
9	49874055	1
9	49874055	1
9	49874055	1
9	49874055	1
9	49874055	1
9	49874055	1
9	49874055	1
1	58968573	1
1	58968573	1
1	58968573	1
1	58968573	1
1	58968573	1
6	43177741	1
6	43177741	1
3	4156683	-1
3	4156683	-1
3	4156683	-1
3	4156683	-1
10	60797814	-1
1	50087289	1
1	50087289	1
1	50087289	1
1	50087289	1
9	54871839	1
2	59636294	-1
2	59636294	-1
2	59636294	-1
1	9031252	-1
1	9031252	-1
1	9031252	-1
1	9031252	-1
4	59511192	1
4	59511192	1
1	66629511	-1
1	66629511	-1
1	66629511	-1
8	3615132	-1
3	50408734	-1
3	50408734	-1
3	50408734	-1
2	7260998	-1
2	7260998	-1
2	7260998	-1
2	7260998	-1
2	7260998	-1
2	7260998	-1
2	7260998	-1
2	7260998	-1
2	7260998	-1
7	49789561	1
7	49789561	1
7	49789561	1
7	49789561	1
7	49789561	1
7	49789561	1
7	49789561	1
7	49789561	1
7	49789561	1
7	49789561	1
7	49789561	1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
5	665337	-1
4	65152430	1
6	60819623	1
6	60819623	1
6	60819623	1
2	66513288	1
1	8141148	-1
2	71695991	1
3	978764	1
3	978764	1
2	63535388	1
2	63535388	1
2	63535388	1
2	63535388	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
9	212680	1
1	49475358	-1
1	49475358	-1
1	49475358	-1
1	49475358	-1
4	5584799	1
9	12267354	-1
9	12267354	-1
9	12267354	-1
9	12267354	-1
9	12267354	-1
9	12267354	-1
9	12267354	-1
7	36578741	1
7	36578741	1
7	36578741	1
9	53411125	-1
10	54645728	-1
5	61018316	1
9	1667226	-1
9	1667226	-1
9	1667226	-1
8	12301627	1
8	12301627	1
8	12301627	1
8	12301627	1
8	12301627	1
8	12301627	1
4	10443396	-1
2	12964113	1
2	12964113	1
2	12964113	1
8	3929276	1
2	63980399	1
2	63980399	1
2	63980399	1
2	63980399	1
2	63980399	1
2	63980399	1
2	63980399	1
2	63980399	1
3	7097311	-1
3	72359938	-1
3	72359938	-1
3	72359938	-1
6	42484993	-1
6	42484993	-1
2	1215716	1
4	10701214	-1
9	47349749	1
2	9631797	1
6	3619719	-1
1	1868708	-1
1	1868708	-1
1	1868708	-1
1	1868708	-1
1	1868708	-1
1	12984231	1
1	69909895	-1
1	69909895	-1
1	69909895	-1
1	69909895	-1
1	69909895	-1
1	69909895	-1
1	69909895	-1
1	69909895	-1
1	69909895	-1
1	69909895	-1
6	57016754	1
6	57016754	1
8	2051602	1
2	6030410	1
2	6030410	1
2	6030410	1
6	47460742	1
3	12921249	-1
3	12921249	-1
3	12921249	-1
8	3649258	-1
8	3649258	-1
8	3649258	-1
8	3649258	-1
8	3649258	-1
8	3649258	-1
8	3649258	-1
8	3649258	-1
8	3649258	-1
8	3649258	-1
8	3649258	-1
4	1588273	1
4	1588273	1
4	1588273	1
4	1588273	1
4	1588273	1
4	1588273	1
6	55535249	1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	2131008	-1
9	50801885	1
1	31107810	-1
1	31107810	-1
1	31107810	-1
2	72606036	1
2	72606036	1
2	72606036	1
2	72606036	1
2	72606036	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
7	60872220	1
1	16806497	-1
1	16806497	-1
6	1928943	1
6	1928943	1
6	1928943	1
1	54649882	1
6	57930297	-1
8	55349948	-1
9	57702975	1
1	2091624	1
1	2091624	1
1	2091624	1
1	2091624	1
1	2091624	1
1	8017672	1
1	8017672	1
1	8017672	1
1	8017672	1
1	8017672	1
1	8017672	1
1	8017672	1
1	8017672	1
1	8017672	1
1	8017672	1
1	8017672	1
1	8017672	1
1	13554887	-1
1	13554887	-1
1	13554887	-1
6	58413345	1
9	54701889	-1
4	61487687	-1
9	52018929	-1
9	52018929	-1
9	52018929	-1
9	52018929	-1
9	52018929	-1
9	52018929	-1
3	5082079	-1
3	5082079	-1
3	5082079	-1
3	5082079	-1
3	5082079	-1
3	5082079	-1
3	62400943	1
3	62400943	1
3	62400943	1
3	62400943	1
3	62400943	1
3	62400943	1
10	5414678	-1
10	5414678	-1
10	5414678	-1
10	5414678	-1
10	5414678	-1
2	17693635	-1
2	17693635	-1
2	17693635	-1
8	48338686	1
8	48338686	1
8	48338686	1
8	48338686	1
8	48338686	1
8	48338686	1
8	48338686	1
8	48338686	1
8	48338686	1
1	66157525	1
1	66157525	1
1	66157525	1
1	66157525	1
3	11348104	-1
3	11348104	-1
8	48634042	-1
8	48634042	-1
2	7743379	-1
2	7743379	-1
2	7743379	-1
2	7743379	-1
6	49589841	-1
6	49589841	-1
6	49589841	-1
6	49589841	-1
6	49589841	-1
6	49589841	-1
3	67282137	1
3	67282137	1
3	67282137	1
3	67282137	1
3	67282137	1
3	67282137	1
3	67282137	1
3	67282137	1
3	67282137	1
1	10186791	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
10	7073164	-1
6	46474377	1
10	46877190	-1
3	7633884	1
3	7633884	1
3	7633884	1
3	7633884	1
3	7633884	1
3	7633884	1
3	7633884	1
3	7633884	1
3	7633884	1
10	8461267	-1
10	8461267	-1
10	8461267	-1
10	8461267	-1
10	8461267	-1
10	8461267	-1
7	2566731	-1
7	2566731	-1
7	2566731	-1
7	2566731	-1
7	2566731	-1
8	4670142	1
7	1363190	1
1	4457113	-1
1	4457113	-1
1	4457113	-1
10	12887286	1
10	12887286	1
10	12887286	1
10	12887286	1
5	46246472	-1
1	56946083	1
1	56946083	1
1	56946083	1
1	56946083	1
10	53625012	1
4	53094830	-1
4	12119970	-1
4	12119970	-1
4	12119970	-1
4	12119970	-1
4	12119970	-1
3	60152738	-1
3	60152738	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	18344328	-1
3	58053826	-1
3	58053826	-1
3	58053826	-1
1	55840286	-1
6	50097974	-1
1	53785802	1
8	2448220	1
3	63205827	-1
3	63205827	-1
3	63205827	-1
3	63205827	-1
3	63205827	-1
2	77312889	1
2	77312889	1
2	77312889	1
2	77312889	1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
2	74130475	-1
4	63717360	-1
4	63717360	-1
4	63717360	-1
4	63717360	-1
4	63717360	-1
4	63717360	-1
5	5886984	-1
1	60607320	1
1	60607320	1
1	60607320	1
1	60607320	1
1	60607320	1
1	60607320	1
1	60607320	1
1	60607320	1
1	60607320	1
1	60607320	1
10	59158058	-1
3	42665118	1
3	42665118	1
3	42665118	1
10	4314544	1
7	6321999	1
7	6321999	1
7	6321999	1
2	66250723	-1
2	6259858	1
2	6259858	1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
9	59197761	-1
2	76644282	-1
2	76644282	-1
2	76644282	-1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
3	18196194	1
5	60011513	1
3	7092242	1
3	7092242	1
9	53738084	-1
9	53738084	-1
9	54723206	-1
9	54723206	-1
9	54723206	-1
9	54723206	-1
9	54723206	-1
9	54723206	-1
9	54723206	-1
9	54723206	-1
9	54723206	-1
3	58071248	-1
10	2288998	1
10	2288998	1
10	2288998	1
10	2288998	1
2	14536889	1
6	1791580	-1
4	62861204	1
4	62861204	1
3	12760033	1
2	74232797	1
10	52309196	1
10	52309196	1
10	52309196	1
10	52309196	1
1	54217760	1
1	54217760	1
2	76853011	-1
2	76853011	-1
2	76853011	-1
2	76853011	-1
2	76853011	-1
2	76853011	-1
2	76853011	-1
2	76853011	-1
2	76853011	-1
5	61431547	1
5	61431547	1
3	13808037	-1
3	13808037	-1
3	13808037	-1
3	13808037	-1
3	13808037	-1
3	13808037	-1
3	13808037	-1
3	13808037	-1
3	13808037	-1
3	13808037	-1
3	13808037	-1
3	13808037	-1
3	13808037	-1
10	60784653	1
10	60784653	1
10	60784653	1
10	60784653	1
10	60784653	1
10	60784653	1
10	60784653	1
10	60784653	1
10	60784653	1
10	60784653	1
4	54322710	-1
4	54322710	-1
4	54322710	-1
4	54322710	-1
4	54322710	-1
4	54322710	-1
4	54322710	-1
4	54322710	-1
4	54322710	-1
6	62023181	1
6	62023181	1
6	62023181	1
6	62023181	1
6	62023181	1
10	53971218	-1
3	72885465	1
8	1172571	-1
2	75619620	1
2	75619620	1
2	75619620	1
9	55911216	1
9	55911216	1
9	55911216	1
9	55911216	1
9	55911216	1
9	55911216	1
1	4421033	1
1	4421033	1
1	4421033	1
1	4421033	1
1	4421033	1
1	4421033	1
1	4421033	1
1	4421033	1
1	4421033	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
3	73250797	1
5	5425696	1
9	56659298	-1
9	56659298	-1
9	56659298	-1
9	56659298	-1
9	56659298	-1
4	51073745	-1
6	1906385	1
6	1906385	1
1	11415802	1
1	11415802	1
1	11415802	1
1	11415802	1
1	11415802	1
1	11415802	1
1	11415802	1
1	61413274	-1
1	61413274	-1
1	61413274	-1
1	61413274	-1
1	61413274	-1
1	61413274	-1
1	61413274	-1
1	61413274	-1
1	61413274	-1
1	61413274	-1
1	2408643	1
2	903364	1
2	903364	1
6	60252217	-1
6	60252217	-1
6	60252217	-1
6	60252217	-1
6	60252217	-1
6	60252217	-1
6	60252217	-1
6	60252217	-1
3	7544242	1
3	7544242	1
3	7544242	1
3	7544242	1
3	7544242	1
3	7544242	1
3	5129097	1
4	4076251	1
1	69905777	-1
1	69905777	-1
6	56113254	-1
6	56113254	-1
6	56113254	-1
5	59560764	-1
5	59560764	-1
1	68480957	1
7	63487248	-1
7	63487248	-1
7	63487248	-1
7	63487248	-1
7	63487248	-1
7	63487248	-1
7	63487248	-1
7	63487248	-1
7	63487248	-1
7	63487248	-1
7	63487248	-1
1	39751070	-1
1	39751070	-1
1	39751070	-1
4	4231726	1
4	4231726	1
4	4231726	1
4	4231726	1
4	4231726	1
4	4231726	1
10	55029915	1
10	9459001	-1
6	56956105	-1
6	56956105	-1
6	56956105	-1
6	56956105	-1
6	56956105	-1
6	56956105	-1
6	56956105	-1
6	56956105	-1
6	56956105	-1
6	56956105	-1
3	8767534	1
3	12148701	1
3	12148701	1
3	12148701	1
3	12148701	1
3	12148701	1
3	12148701	1
3	12148701	1
3	12148701	1
3	12148701	1
3	12148701	1
3	12148701	1
2	71742693	1
2	71742693	1
2	71742693	1
2	71742693	1
2	71742693	1
2	71742693	1
2	71742693	1
2	71742693	1
2	71742693	1
2	71742693	1
2	71742693	1
2	71742693	1
2	71742693	1
2	2938784	-1
2	2938784	-1
2	2938784	-1
2	2938784	-1
2	2938784	-1
2	2938784	-1
2	2938784	-1
10	9360566	1
10	60410757	-1
10	60410757	-1
4	50634152	1
4	50634152	1
4	50634152	1
4	50634152	1
10	7528347	-1
10	7528347	-1
1	47056383	1
1	47056383	1
1	47056383	1
4	3603572	-1
4	3603572	-1
1	61021665	-1
1	61021665	-1
1	61021665	-1
1	61021665	-1
1	61021665	-1
5	53112476	-1
1	60867882	1
1	5406070	-1
1	5406070	-1
1	5406070	-1
6	53700498	-1
6	53700498	-1
6	53700498	-1
6	53700498	-1
6	53700498	-1
6	53700498	-1
6	53700498	-1
6	53700498	-1
6	53700498	-1
4	62132010	1
4	62132010	1
4	62132010	1
4	62132010	1
4	62132010	1
4	62132010	1
6	50592271	1
6	50592271	1
6	50592271	1
4	50539185	-1
4	50539185	-1
3	10212055	1
3	10212055	1
3	9696729	-1
3	9696729	-1
10	7903390	-1
10	7903390	-1
10	7903390	-1
10	7903390	-1
10	7903390	-1
10	7903390	-1
10	7903390	-1
10	7903390	-1
10	7903390	-1
6	46082274	1
6	46082274	1
6	46082274	1
6	46082274	1
6	46082274	1
6	46082274	1
6	46082274	1
1	49636551	-1
1	49636551	-1
1	49636551	-1
1	49636551	-1
1	49636551	-1
1	49636551	-1
1	49636551	-1
4	59648627	-1
4	59648627	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
4	67826355	-1
7	8109675	-1
7	8109675	-1
7	8109675	-1
7	8109675	-1
1	60063177	1
1	60063177	1
1	60063177	1
1	60063177	1
1	60063177	1
1	60063177	1
1	55581973	1
2	55005821	1
1	6359214	-1
1	6359214	-1
7	6057613	-1
7	6057613	-1
7	6057613	-1
2	71599191	1
2	71599191	1
2	71599191	1
2	71599191	1
2	71599191	1
2	71599191	1
2	71599191	1
2	71599191	1
2	71599191	1
2	71599191	1
1	48627344	-1
1	48627344	-1
1	48627344	-1
1	48627344	-1
1	48627344	-1
1	48627344	-1
1	48627344	-1
1	48627344	-1
1	48627344	-1
1	48627344	-1
4	7166105	1
4	7166105	1
8	1309038	1
5	53320368	1
7	63690295	-1
7	63690295	-1
3	11067595	1
3	11067595	1
3	11067595	1
3	11067595	1
3	11067595	1
3	11067595	1
3	11067595	1
3	11067595	1
3	11067595	1
3	11067595	1
3	11067595	1
3	11067595	1
1	2444540	1
1	2444540	1
1	2444540	1
1	2444540	1
1	2444540	1
1	2444540	1
1	2444540	1
10	1484103	1
10	1484103	1
10	1484103	1
10	1484103	1
10	1484103	1
10	1484103	1
10	1484103	1
3	56489968	-1
1	9367419	1
1	9367419	1
2	12510975	-1
2	12510975	-1
2	12510975	-1
8	880627	1
8	38460894	-1
8	38460894	-1
1	49538588	1
1	49538588	1
1	49538588	1
1	49538588	1
10	60075745	1
10	60075745	1
10	60075745	1
2	4496046	1
2	4496046	1
2	4496046	1
2	4496046	1
2	4496046	1
2	4496046	1
2	62124341	1
2	62124341	1
2	62124341	1
2	62124341	1
2	62124341	1
2	62124341	1
2	62124341	1
2	62124341	1
4	64516237	-1
4	64516237	-1
4	64516237	-1
4	64516237	-1
4	64516237	-1
4	2561762	-1
4	2561762	-1
4	2561762	-1
4	2561762	-1
4	2561762	-1
4	2561762	-1
5	58281199	-1
3	67205948	-1
3	67205948	-1
3	67205948	-1
3	67205948	-1
3	67205948	-1
3	64825457	-1
3	64825457	-1
2	53927463	-1
2	53927463	-1
2	53927463	-1
2	53927463	-1
2	53927463	-1
10	6888433	1
10	6888433	1
10	6888433	1
6	52375331	-1
8	2570527	1
3	659324	1
3	659324	1
3	659324	1
3	659324	1
2	69680684	1
2	69680684	1
3	60075964	-1
3	15811686	-1
2	8956528	1
2	8956528	1
2	8956528	1
2	8956528	1
2	8956528	1
2	8956528	1
2	8956528	1
2	8956528	1
2	8956528	1
2	8956528	1
2	65291255	-1
2	65291255	-1
2	65291255	-1
2	65291255	-1
2	65291255	-1
2	65291255	-1
2	65291255	-1
2	65291255	-1
2	71068639	1
9	53689996	1
8	48787388	-1
8	48787388	-1
2	62018109	1
1	1229865	-1
1	1229865	-1
1	1229865	-1
1	1229865	-1
1	1229865	-1
2	61730966	-1
9	48785247	1
4	11222045	1
4	2942965	-1
4	2942965	-1
4	2942965	-1
4	2942965	-1
4	2942965	-1
4	2942965	-1
4	2942965	-1
10	22897608	1
3	5172845	1
1	49719541	-1
1	49719541	-1
1	49719541	-1
1	49719541	-1
1	49719541	-1
1	49719541	-1
1	24014457	-1
2	63210035	-1
2	63210035	-1
2	63210035	-1
2	63210035	-1
10	55773195	1
10	55773195	1
10	55773195	1
10	55773195	1
10	55773195	1
10	55773195	1
10	55773195	1
2	63377624	-1
9	1548735	1
9	1548735	1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
3	7288549	-1
